GEOID,nearest_miles,area_type,threshold_mi,is_desert,SVI,in_mua
12057990100,13.284505217882254,rural,10.0,True,0.7789,True
12005000201,13.269467357260671,rural,10.0,True,0.7407,True
12087971402,13.235827705989509,rural,10.0,True,0.6822,True
12043000100,13.20759521944846,rural,10.0,True,0.9058,True
12055961601,13.175911407188984,rural,10.0,True,0.8673,True
12055961500,13.154792863406067,rural,10.0,True,0.8673,True
12095016737,13.113141655362467,rural,10.0,True,0.7951,True
12081001914,13.0768482856262,rural,10.0,True,0.6332,True
12047960201,13.069658679663224,rural,10.0,True,0.9803,True
12077980000,13.033232641425693,rural,10.0,True,0.8266,True
12057013903,12.990971917545467,rural,10.0,True,0.7789,True
12087970400,12.988018492497789,rural,10.0,True,0.6822,True
12059960202,12.909078736259584,rural,10.0,True,0.8081,True
12039020104,12.865520712747394,rural,10.0,True,0.9742,True
12027010102,12.751633795594351,rural,10.0,True,0.9981,True
12039020103,12.68353108324359,rural,10.0,True,0.9742,True
12005000302,12.620318187965049,rural,10.0,True,0.7407,True
12073002515,12.615706180753351,rural,10.0,True,0.6952,True
12063211100,12.563401822682327,rural,10.0,True,0.8085,True
